Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you",Please select your gender,Kindly select your age bracket,Please select your department from the list below,How would you rate the state of your mental well-being?,How would you rate the current state of your mental well-being?,"If you need support in Q6 above, please state what support you would need?",Please reflect on the mental Wellness related issues listed below and tick the areas you would like us to address on our regular sessions? (Select more than one if applicable),Mental Wellness Issues Would Like Addressed - Emotional intelligence,Mental Wellness Issues Would Like Addressed - Financial constraints,Mental Wellness Issues Would Like Addressed - Trauma,Mental Wellness Issues Would Like Addressed - Substance and Drug Dependence,Mental Wellness Issues Would Like Addressed - Relationship Difficulties,Mental Wellness Issues Would Like Addressed - Unresolved Childhood Difficulties,Mental Wellness Issues Would Like Addressed - Anxiety and Depression,Mental Wellness Issues Would Like Addressed - Other (please specify),Are you going through a tough emotional situation right now?,"During the past 4 weeks, have you had any problems with your work or daily life due to any emotional problems, such as feeling depressed, sad, or anxious?","During the past 4 weeks, how often has your mental health affected your ability to get work done?","During the past two weeks, how often has your mental health affected your relationships?",Have you ever been diagnosed with a mental disorder before?,Have you seen a therapist in the recent past?,Is there a history of mental disorder in your family?,Do you feel content with your relationships and family?,When was the last time you were really happy?,When was the last time you felt good about yourself?,How often do you feel positive about your life?,When was the last time you had a positive outlook on life?,How many hours do you sleep per day?,How is your quality of sleep?,How often do you smoke?,How often do you drink?,How do you usually cope with the general stresses of life and the mental health challenges that come your way?,Coping Mechanisms - Other (please specify),"What about the amount of social support you receive from your family, friends, etc? When you have the need to talk to someone or go on outings with friends and/or relatives, do you feel there is someone who fulfills these needs?",Have you ever attended a Mental Health Awareness Session?,How would you prefer to receive information and advice about mental health?,Preferred Method of Receiving Mental Health Information - Other (please specify),Are you aware of the Employee Assistance Program services offered by Kenya Airways to all its staff and dependents through Minet?,"EAP Awareness & Usage - If yes to Question 29, have you ever accessed the service?","EAP Awareness & Usage - If no, please state the reason.",Would you like us to link you or your dependents to our professional counselors for support?
114752282348.0,I Agree,Male,25-39 years,Flight Operations,Fair,I’m just there,,Work/job related stressors,Emotional intelligence,,,,Relationship Difficulties,,Anxiety and Depression,,Yes,No,Not so often,Somewhat often,No,No,No,No,Few weeks ago,Few weeks ago,Once in a while,Few weeks ago,4 - 6,Bad,Never,Once in a few weeks,I keep my issues to myself,,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,Online,,Yes,No,I want to keep my work and personal life separat,No
114752282422.0,I Agree,Female,25-39 years,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114752277081.0,I Agree,Male,50+ years,Managing Director's Office,Good,I’m just there,,,Emotional intelligence,,,,,Unresolved Childhood Difficulties,Anxiety and Depression,,Yes,No,Not so often,Not at all,No,No,No,Yes,Few weeks ago,Few weeks ago,Always,Few days ago,7 - 9,Good,Never,Never,I seek help from my religious leader,,No support or potential support is available from either family or friends,No,One on One session,,Yes,No,Time to attend.,Yes
114752273297.0,I Agree,Male,50+ years,Technical,Good,I am OK and coping well,Nil,Work/job related stressors,,Financial constraints,,,,,,,No,No,Not so often,Not at all,No,No,No,Yes,Few days ago,Few weeks ago,Most of the time,Few weeks ago,7 - 9,Good,Never,Once in a few weeks,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Group session,,Yes,No,Never had a chance ,Yes
114752235988.0,I Agree,Female,25-39 years,Ground Operations,Good,I am OK and coping well,non,Work/job related stressors,Emotional intelligence,Financial constraints,,,,,,,Not Sure,No,Not at all,Not at all,No,No,No,Yes,Few months ago,Few months ago,Most of the time,Few months ago,7 - 9,Good,Never,Never,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,No,One on One session,,No,,,Yes
114751579559.0,I Agree,Female,40-49 years,Flight Operations,Good,I am OK and coping well,N.A,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,,Relationship Difficulties,,,,No,No,Not so often,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Very Good,Never,Never,I engage relatives and friends,I also journal my issues and get the root cause and seek ways to solve them personally.,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Online,,Yes,Yes,N.A,Yes
114751328854.0,I Agree,Male,50+ years,Managing Director's Office,Good,I am OK and coping well,,,Emotional intelligence,,,,Relationship Difficulties,,Anxiety and Depression,,Not Sure,Yes,Somewhat often,Somewhat often,No,No,No,Yes,Few weeks ago,Few years ago,Most of the time,I don't remember,7 - 9,Very Good,Never,Never,,,,,,,,,,
114750773187.0,I Agree,Female,25-39 years,Technical,Good,I am not OK,Career growth mentorship,,,Financial constraints,,,,,,,Yes,Yes,Somewhat often,Somewhat often,No,No,Yes,No,I don't remember,Few days ago,Once in a while,Few days ago,Less than 4,Very Bad,Never,Never,I seek for available options online,,No support or potential support is available from either family or friends,No,Group session,,No,,,Yes
114750666058.0,I Agree,Female,40-49 years,Commercial,Good,I’m just there,,Work/job related stressors,Emotional intelligence,,,,Relationship Difficulties,,,,Yes,Yes,Somewhat often,Somewhat often,No,No,No,Not Sure,Few months ago,Few months ago,Once in a while,Few months ago,4 - 6,OK,Never,Once in a few weeks,I keep my issues to myself,,Average degree of social support from family and friends is given or potentially available.,Yes,One on One session,,Yes,,,
114750654029.0,I Agree,Female,25-39 years,Flight Operations,Excellent,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,Substance and Drug Dependence,Relationship Difficulties,Unresolved Childhood Difficulties,Anxiety and Depression,,No,No,Not at all,Not at all,No,No,No,Yes,,,,,,,,,,,,,,,,,,
114750615719.0,I Agree,Female,40-49 years,Flight Operations,Good,I am OK and coping well,Support groups,,,Financial constraints,Trauma,,Relationship Difficulties,,Anxiety and Depression,Bereavement ,No,Yes,Not at all,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Not Sure,Never,Never,I keep my issues to myself,I seek God for answers,"Below average degree of social support (While some support is available, it's not consistently available).",Yes,Pamphlets and nuggets,,Yes,Yes,,Yes
114750592971.0,I Agree,Female,25-39 years,Flight Operations,Very Good,I am OK and coping well,,,Emotional intelligence,Financial constraints,,,Relationship Difficulties,Unresolved Childhood Difficulties,,,No,No,Not at all,Not at all,No,No,No,Not Sure,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,OK,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Online,,Yes,,,
114750566714.0,I Agree,Female,25-39 years,Ground Operations,Fair,I’m just there,,Work/job related stressors,,Financial constraints,,,,,,,Yes,No,Not so often,Somewhat often,No,No,No,Not Sure,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Bad,Never,Never,I keep my issues to myself,,No support or potential support is available from either family or friends,No,One on One session,,No,,,Yes
114750409892.0,I Agree,Male,50+ years,Technical,Good,I am OK and coping well,No ,Work/job related stressors,,Financial constraints,,,,,Anxiety and Depression,,Not Sure,Not Sure,Not at all,Not at all,No,No,No,Not Sure,Few days ago,Few days ago,Most of the time,Few years ago,4 - 6,Good,Never,Never,I seek help from my religious leader,,Above average degree of social support (Given or potentially available from family and friends).,No,Group session,,Yes,No,Sometimes lack of time,Yes
114750363648.0,I Agree,Male,40-49 years,Managing Director's Office,Good,I’m just there,,Work/job related stressors,Emotional intelligence,Financial constraints,,Substance and Drug Dependence,,,Anxiety and Depression,,No,Yes,Not so often,Not so often,No,No,No,Yes,Few months ago,Few weeks ago,Most of the time,Few weeks ago,4 - 6,Good,Never,Once in a few weeks,I go to the pub and drink,,Above average degree of social support (Given or potentially available from family and friends).,No,Group session,,Yes,Yes,,No
114750169660.0,I Agree,Male,40-49 years,Ground Operations,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few weeks ago,Always,Few days ago,4 - 6,OK,Never,Never,I seek help from my religious leader,,Above average degree of social support (Given or potentially available from family and friends).,No,Pamphlets and nuggets,,No,,,Yes
114750151408.0,I Agree,Male,40-49 years,Ground Operations,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,,,,,Anxiety and Depression,,No,No,Not at all,Not at all,No,No,No,Yes,Few months ago,Few weeks ago,Most of the time,Few days ago,7 - 9,Good,Never,Never,I engage relatives and friends,,"Below average degree of social support (While some support is available, it's not consistently available).",No,Online,,Yes,Yes,,No
114750082975.0,I Agree,Male,40-49 years,Ground Operations,Excellent,I am OK and coping well,,Work/job related stressors,,,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Good,Never,Once in a few weeks,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,Group session,,Yes,No,i have hade no mental problem to warrant it.,No
114750046856.0,I Agree,Male,25-39 years,Ground Operations,Very Good,I am OK and coping well,Ok,Work/job related stressors,Emotional intelligence,,,,,,,,Not Sure,Yes,Not at all,Not at all,No,No,No,Yes,Few weeks ago,Few days ago,Most of the time,I don't remember,7 - 9,OK,Never,Never,I keep my issues to myself,,No support or potential support is available from either family or friends,No,Pamphlets and nuggets,,Yes,No,No time,No
114749793187.0,I Agree,Female,40-49 years,Flight Operations,Very Good,I am OK and coping well,None for now,,,,Trauma,Substance and Drug Dependence,Relationship Difficulties,,,,No,No,Not at all,Not so often,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Once in a few weeks,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",Yes,Pamphlets and nuggets,,Yes,No,Haven’t had the need,Yes
114749738856.0,I Agree,Male,25-39 years,Technical,Very Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,,Substance and Drug Dependence,,,Anxiety and Depression,,No,Not Sure,Not so often,Not at all,No,No,No,Yes,Few weeks ago,Few months ago,About half the time,Few months ago,7 - 9,Good,Never,Once in a few weeks,,,,,,,,,,
114749737466.0,I Agree,Female,40-49 years,Technical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114749693065.0,I Agree,Male,40-49 years,Ground Operations,Good,I’m just there,Growth. I've stagnated!,Work/job related stressors,,,,,,,,,Not Sure,Yes,Not so often,Not at all,No,No,No,Yes,Few years ago,Few days ago,Most of the time,Few days ago,7 - 9,Good,Never,Never,I engage relatives and friends,,"High degree of social support (Much support is either given or is available, if needed, from family and friends).",No,One on One session,,Yes,No,Mine is purely on career growth. I just feel am not moving up the ladder like the rest of my very close colleagues. I've become a laughing stock because i joined KQ with a bachelor's degree 22yrs ago but appear to be fixed on this position,Yes
114749683212.0,I Agree,Male,25-39 years,Cargo,Good,I’m just there,,Work/job related stressors,Emotional intelligence,Financial constraints,Trauma,,,Unresolved Childhood Difficulties,,,Yes,Yes,Not so often,Somewhat often,No,No,No,No,Few days ago,Few days ago,Once in a while,Few weeks ago,4 - 6,Bad,Never,Once in a few weeks,I engage relatives and friends,,"Below average degree of social support (While some support is available, it's not consistently available).",No,Online,,No,,,Yes
114749628483.0,I Agree,Male,40-49 years,Ground Operations,Good,I’m just there,,,,Financial constraints,,,Relationship Difficulties,,,,Yes,Yes,Not at all,Somewhat often,No,Yes,No,Not Sure,Few years ago,Few years ago,Most of the time,Few days ago,7 - 9,Good,Never,Once in a few weeks,I seek help from my religious leader,,Average degree of social support from family and friends is given or potentially available.,Yes,One on One session,,Yes,Yes,,No
114749651373.0,I Agree,Male,40-49 years,Ground Operations,Very Good,I am OK and coping well,,Work/job related stressors,,,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Always,Few days ago,7 - 9,Good,Never,Never,I seek help from my religious leader,,Average degree of social support from family and friends is given or potentially available.,No,Online,,Yes,Yes,,Yes
114749647046.0,I Agree,Male,40-49 years,Ground Operations,Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,Financial constraints,,,Relationship Difficulties,,,,Not Sure,No,Not so often,Not so often,No,No,No,No,Few days ago,Few days ago,Always,Few days ago,4 - 6,OK,Never,Once in a few weeks,I keep my issues to myself,,No support or potential support is available from either family or friends,No,Online,,Yes,,,
114749620389.0,I Agree,Male,25-39 years,Cargo,Very Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,,,,,,,No,No,Not at all,Not at all,No,Yes,No,Yes,Few days ago,Few days ago,Always,I don't remember,7 - 9,Good,Never,Never,I seek help from a processional counselor,,Average degree of social support from family and friends is given or potentially available.,Yes,One on One session,,No,,,Yes
114749622518.0,I Agree,Male,40-49 years,Technical,Very Good,I am OK and coping well,,Work/job related stressors,Emotional intelligence,,,,,,,,No,No,Not at all,Not at all,No,No,No,Yes,Few days ago,Few days ago,Most of the time,Few days ago,4 - 6,Very Bad,Never,Never,I seek help from a processional counselor,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Group session,,Yes,No,i havent encountered an issue that couldnt be addressed on my personal level,No
114749621218.0,I Agree,Male,40-49 years,Managing Director's Office,Good,I’m just there,stress management support,Work/job related stressors,Emotional intelligence,Financial constraints,,,Relationship Difficulties,,Anxiety and Depression,,Not Sure,Yes,Not so often,Somewhat often,No,No,No,Not Sure,Few years ago,I don't remember,Most of the time,Few weeks ago,7 - 9,OK,Never,Once in a few weeks,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,Yes,Online,,Yes,No,NOT SURE HOW TO GO ABOUT IT. ,Yes
114749622415.0,I Agree,Female,25-39 years,Ground Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114749611146.0,I Agree,Female,25-39 years,Ground Operations,Good,I’m just there,As  a single mother how to balance responsibilities,,Emotional intelligence,,,,,,,,Not Sure,Yes,Not so often,Not so often,No,No,No,No,Few days ago,Few weeks ago,Most of the time,Few weeks ago,4 - 6,Bad,Never,Once in a few weeks,I engage relatives and friends,,Average degree of social support from family and friends is given or potentially available.,Yes,Group session,,Yes,No,Iam a little hesitant to share everything to people iam unfamiliar with,No
114749565869.0,I Agree,Male,40-49 years,Flight Operations,Good,I am OK and coping well,Stress management,Work/job related stressors,,Financial constraints,,Substance and Drug Dependence,Relationship Difficulties,,Anxiety and Depression,,No,No,Not at all,Not at all,No,No,No,Yes,Few months ago,Few months ago,Most of the time,Few months ago,7 - 9,Good,Never,Once everyday,I engage relatives and friends,,Above average degree of social support (Given or potentially available from family and friends).,Yes,Online,,Yes,No,I have not had a serious case or problem warranting proper help from EAP.,No
